Trial,Item,Prime,Target,Condition,Response,Result,RT,List
1,37,light,dark,A,word,1,886,2
2,73,movie,drisp,nonword,word,0,684,2
3,16,tractor,fruit,B,word,1,591,2
4,62,fork,brin,nonword,word,0,408,2
5,61,cup,melsh,nonword,word,0,329,2
6,12,rocket,cow,B,word,1,458,2
7,58,shirt,blesk,nonword,word,0,547,2
8,39,thick,thin,A,nonword,0,597,2
9,4,music,queen,B,word,1,438,2
10,60,ring,grask,nonword,nonword,1,548,2
11,13,violin,smoke,B,word,1,640,2
12,35,give,take,A,word,1,643,2
13,5,paper,nurse,B,word,1,645,2
14,33,begin,end,A,word,1,594,2
15,59,boots,flund,nonword,nonword,1,785,2
16,50,snow,glish,nonword,nonword,1,554,2
17,15,tunnel,girl,B,word,1,504,2
18,14,jungle,coffee,B,word,1,537,2
19,31,soft,hard,A,word,1,601,2
20,11,candle,page,B,nonword,0,526,2
21,55,brush,prand,nonword,nonword,1,650,2
22,28,young,old,A,word,1,629,2
23,75,song,grond,nonword,nonword,1,775,2
24,32,open,close,A,word,1,520,2
25,63,knife,clof,nonword,nonword,1,647,2
26,8,button,cold,B,word,1,956,2
27,18,ribbon,water,B,word,1,807,2
28,64,bridge,sprot,nonword,nonword,1,718,2
29,53,ocean,crint,nonword,nonword,1,584,2
30,26,happy,sad,A,word,1,582,2
31,54,soap,slome,nonword,nonword,1,622,2
32,19,onion,foot,B,word,1,613,2
33,68,bike,famt,nonword,nonword,1,588,2
34,72,game,snib,nonword,word,0,575,2
35,20,kettle,wing,B,nonword,0,625,2
36,65,train,tept,nonword,nonword,1,624,2
37,7,saddle,night,B,word,1,640,2
38,78,cake,preb,nonword,nonword,1,551,2
39,27,big,small,A,word,1,593,2
40,34,love,hate,A,word,1,623,2
41,74,dance,flent,nonword,nonword,1,701,2
42,79,juice,trund,nonword,nonword,1,853,2
43,25,left,right,A,word,1,636,2
44,30,north,south,A,nonword,0,967,2
45,57,door,tronk,nonword,nonword,1,645,2
46,40,bed,sleep,A,word,1,608,2
47,67,truck,molk,nonword,nonword,1,710,2
48,38,high,low,A,word,1,875,2
49,29,fast,slow,A,word,1,571,2
50,76,radio,brask,nonword,nonword,1,615,2
51,10,jacket,road,B,word,1,421,2
52,6,pencil,moon,B,word,1,558,2
53,47,ship,blive,nonword,nonword,1,570,2
54,9,hammer,blue,B,nonword,0,617,2
55,66,plane,dring,nonword,nonword,1,632,2
56,80,glass,smerk,nonword,nonword,1,725,2
57,49,rain,trame,nonword,nonword,1,643,2
58,51,wind,frop,nonword,nonword,1,639,2
59,17,basket,chair,B,word,1,541,2
60,77,phone,clent,nonword,nonword,1,551,2
61,52,star,blaft,nonword,nonword,1,589,2
62,24,winter,summer,A,word,1,546,2
63,70,coin,crame,nonword,nonword,1,599,2
64,36,wet,dry,A,word,1,507,2
65,48,plant,snerf,nonword,nonword,1,645,2
66,56,floor,nerb,nonword,nonword,1,590,2
67,69,money,blong,nonword,nonword,1,604,2
68,71,card,plib,nonword,nonword,1,631,2
